funds,link,location,summary,title
"
$2,710 raised of $6,500                    ",https://www.gofundme.com/steven-crowder-live-at-smu,"Dallas, TX",SMU College Republicans is bringing comedian Steven Crowde…,Steven Crowder Live at SMU!
"
$12,857 raised of $10,000                    ",https://www.gofundme.com/reopen-a-nc-republican-office-2ukuprzy,"Brookline, MA",NOTE: We reached our goal and then some in less than 40 minute…,Dems help reopen a NC Repub office
"
$13,021 raised of $20,000                    ",https://www.gofundme.com/troopersanchez,"Mcallen, TX","￼ Moises Sanchez, a Texas State Trooper, was shot while respondi…",Funds for Trooper Moises Sanchez
"
$3,649 raised of $5,000                    ",https://www.gofundme.com/mugop,"Columbia, MO",We are the University of Missouri - College Republicans.  As you ma…,Mizzou College Republicans
"
$1,575 raised of $8,000                    ",https://www.gofundme.com/bennett-funeral-expenses,"Nashville, TN","Steve Willis, brother of Karen Willis Bennett, and son of Loretta Willis…",Willis (Bennett)  Funeral Expenses
"
$2,625 raised of $1,000                    ",https://www.gofundme.com/rgep2s,"Peoria, IL","Hello everyone. I'm Jesus, the Son of God. Support my loyal friend E…",The New Republican Bible
"
$500 raised of $750                    ",https://www.gofundme.com/62otugo,"Goshen, KY",This years NOHS Young Republican’s Club is the biggest i…,NOHS Young Republican’s Club
"
$4,278 raised of $25,000                    ",https://www.gofundme.com/help-repair-our-club,"New York, NY","Late last night, in an act of what can only be described as malice and d…",Help repair our Club!
"
$502 raised of $500                    ",https://www.gofundme.com/templecrs,"Philadelphia, PA",The Temple University College Republicans is a student organiza…,Temple College Republicans Fundraising Initiative
"
$575 raised of $2,500                    ",https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX",Facebook & Twitter has done everything possible to shut me dow…,Help Keep The Gay Republican Alive
"
$1,930 raised of $5,000                    ",https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",Hillsdale College Republicans aims to take students to the Conservativ…,CPAC-Hillsdale College Republicans
"
$1,595 raised of $1,500                    ",https://www.gofundme.com/25j9xngs,"Everett, WA",Update: I set my goal assuming a frugal and thrifty trip (splitting a h…,Send Natalie to Republican Natl Con
"
€120 raised of €200                    ",https://www.gofundme.com/sponsor-andy-for-dublin-marathon,"Dublin, Ireland",ALL PROCEEDS will be donated to Irish Republican prisoners and thei…,Marathon for Republican Prisoners
"
$1,575 raised of $3,500                    ",https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT",The Fairfield University College Republicans will be traveling to W…,CPAC in Washington DC
"
$340 raised of $1,000                    ",https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL",The Eckerd College Republicans are back in action after 30 years! We w…,Eckerd College Republicans Club
"
$245 raised of $2,000                    ",https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA",The Truman Young Republican’s Club consists of a group of about 15 resp…,Truman Young Republicans Fundraiser
"
$315 raised of $500                    ",https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN",This April I was elected to serve the Florida Federation of College Rep…,Send Megan to the College Republican Convention
"
$475 raised of $1,000                    ",https://www.gofundme.com/florence-relief-republican,"Lexington, SC",100% of all proceeds go directly to the victims of hurricane Florence,Republicans for Hurricane relief
"
$2,600 raised of $5,000                    ",https://www.gofundme.com/3597xp9w,"Sioux Falls, SD","At Augustana University, students are leaders. Students strive to achie…",Augie Republicans Trip to CPAC
"
$60 raised of $1,500                    ",https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA",The College Republicans at SJU have had a great presence in the Philadel…,SJU College Republicans to CPAC ‘19
"
$2,331 raised of $2,500                    ",https://www.gofundme.com/rncjacoballin,"Mississauga, ON",Hello!  As many of you know I'm a student at Carleton University ma…,Jacob's Republican Convention Fund
"
$935 raised of $2,500                    ",https://www.gofundme.com/republican039s-for-foster-kids,"Benton, AR",Project Zero works to connect waiting families with waiting childr…,Republican's For Foster Kids
"
$425 raised of $1,000                    ",https://www.gofundme.com/university-of-toledo-college-republicans,"Perrysburg, OH",We are raising money to send some of our members to CPAC in Washi…,University of Toledo College Republicans
"
$971 raised of $12,500                    ",https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",summary was NoneType,Republican St. P-Patch Site Improvements
"
$1,440 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX",Help the College Republicans serve the UT Austin campus and keep Tex…,College Republicans at UT need help
"
$3,000 raised of $10,000                    ",https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",Steven D. Bradley                                                              AGE: 6…,Cypress City Council
"
$340 raised of $4,000                    ",https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC","Dear friends, family, peers, and other great influencers of my life,      I wou…",Dominican Republic Medical Assist
"
$25 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA",The College Republicans at UC Santa Cruz are proud to announce they w…,College Republicans at UCSC
"
$865 raised of $2,500                    ",https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",Hello all! We are asking for donations to assist us with our an…,UNCW College Republicans CPAC 2019
"
$1,100 raised of $1,500                    ",https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN","Dear Fellow Republicans,      The Bulldog Republicans at UMD hav…",Bulldog Republicans go to CPAC!
"
$125 raised of $5,000                    ",https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",The UCSC College Republicans want to bring you amazing speakers an…,UCSC College Republicans Fundraiser
"
$889 raised of $4,000                    ",https://www.gofundme.com/young-republican-katelyn-mcguyer-needs-support,"Visalia, CA","Our niece, Katelyn, has been selected as an intern for our local …",Katelyn McGuyer needs support
"
$505 raised of $5,000                    ",https://www.gofundme.com/political-action-college-republicans,"Hartford, CT",College Republicans at Trinity College is launching a capital campa…,Political Action! College Republicans
"
$25 raised of $1,000                    ",https://www.gofundme.com/supportcsufgop,"Fullerton, CA","The CSUF Republicans seek to support conservative students, e…",Support the CSUF Republicans!
"
$700 raised of $3,200                    ",https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ","Formed in January of 2018, College Republicans United has already gro…",2019 Fundraiser for CRU
"
$10 raised of $500,000                    ",https://www.gofundme.com/republicans-helping-gov039t-shutdown-employees,"Mesquite, NV",Republicans care more than Democrats.  They offer $1.00 to ke…,Republicans helping  Gov't shutdown employees
"
$20 raised of $1,000                    ",https://www.gofundme.com/Behrend-College-Republican-Formal,"Erie, PA",My name is Avery Skiviat and I am part of the political science comm…,Behrend College Republican Formal
"
$100 raised of $1,800                    ",https://www.gofundme.com/beach-cities-republicans,"Palos Verdes Peninsula, CA",We meet every Third Thursday at the Torrance Sizzler in Torrance on Se…,Beach Cities Republicans
"
$80 raised of $500                    ",https://www.gofundme.com/sst-to-the-dominican-republican,"Fort Wayne, IN",I’m raising money to be able to have a fun lifetime experience and oppor…,SST Trip To The Dominican Republican
"
$160 raised of $7,500                    ",https://www.gofundme.com/exploration-into-district-1-republican-congress,"Franklinton, NC",I would like to set this up to cover my exploration into running for Congre…,Exploration into District 1 Republican Congress
"
$150 raised of $1,600                    ",https://www.gofundme.com/electing-republican-women-training,"Honolulu, HI",To ensure the full spectrum of Republican Women voices who wa…,Electing Republican Women Training
"
$100 raised of $8.0M                    ",https://www.gofundme.com/any-republican-but-rob-portman,"Hamilton, OH",I have but one question? Are you tired of of taking the time to vote a…,Any Republican but Rob Portman!
"
$50 raised of $1,000                    ",https://www.gofundme.com/7rv3k-help-me-go-to-washington-dc,"Coral Springs, Florida",I am the founder of a club at my school called Black Republican Le…,Republican Leaders Washington DC trip.
"
$25 raised of $500                    ",https://www.gofundme.com/patrick-henry-teen-republicans,"Roanoke, VA",Roanoke City Public Schools currently have 250 students identi…,Patrick Henry: Teen republicans
"
$20 raised of $500                    ",https://www.gofundme.com/oregon-republicans-threatened-w-arrest,"Hillsboro, OR",Oregon Governor Kate Brown has ordered the state police to round u…,Oregon Republicans threatened w/ arrest.
"
$10 raised of $700                    ",https://www.gofundme.com/dominican-republican-mission-trip,"Bay City, MI",My goal is to visit the Dominic Republic this summer to build housi…,Dominican Republican Mission Trip
"
$5 raised of $350,000                    ",https://www.gofundme.com/antirepublican-apparel,"Brooklyn, NY",I say we fight propaganda with propaganda and create an anti-re…,anti-republican apparel
"
$0 raised of $75,000                    ",https://www.gofundme.com/citadel-republican-society-to-cpac,"Charleston, SC",The Citadel Republican Society is looking to raise money for our annu…,Citadel Republican Society to CPAC
"
€0 raised of €5,000                    ",https://www.gofundme.com/ampliacion-de-estudio-y-equipos,"Pamplona, NA, Spain",Somos un grupo de personas que iniciamos este proyecto altruista…,Ampliación de estudio y equipos
"
$0 raised of $5,000                    ",https://www.gofundme.com/muslim-politician-leaving-the-republican-party,"Ogden, UT",Please help support my work as I am writing a book on my journey in an…,Muslim politician leaving the Republican Party
"
$0 raised of $250,000                    ",https://www.gofundme.com/republican-challenger-to-president-trump,"Dover, NH",The Republican Party has not presented a nominee to challenge P…,Matthew Argall: A Presidential Bid
"
$0 raised of $29,000                    ",https://www.gofundme.com/help-move-2-republican-families-from-oregon,"Lebanon, OR",11 people of a Republican party want to leave the state of oregon. They a…,Get 11 Republican people out of oregon
"
$0 raised of $5,000                    ",https://www.gofundme.com/help-umass-boston-college-republicans-attend-cpac,"Boston, MA",The College Republicans at the University of Massachusetts Bosto…,Help UMass Boston College Republicans attend CPAC!
"
$0 raised of $20,000                    ",https://www.gofundme.com/democrat-parents-disowns-republican,"Hillside, NJ",So basically i told my parents i am a republican and i support Donald Tr…,Democrat Parents Disowns Republican
"
$0 raised of $100,000                    ",https://www.gofundme.com/w5x8ws,"San Diego, CA",i will sign a notary never to vote republican  in 2020 will make a dif…,i will never vote republican again
"
$0 raised of $10,000                    ",https://www.gofundme.com/young-black-republican-needs-money-for-college,"Trenton, NJ","Hello everybody! Recently, I decided to come out to my family and frien…",Young Black Republican Needs Money For College!!!!
"
$0 raised of $1.8M                    ",https://www.gofundme.com/1oqjn6to80,"Long Beach, CA","(CAMPAIGN PLATFORM): !!! --->  To rekindle ""American Dream"", --->  To …","""Black Ted Cruz"" Republican Presidential Candidate"
"
$0 raised of $2,000                    ",https://www.gofundme.com/make-me-vote-republican,"El Cajon, CA","For the next presidential election, I will vote REPUBLICAN. I’m so sick …",Make Me Vote Republican!!!
"
$0 raised of $1,000                    ",https://www.gofundme.com/young-republicans-rally-nyc-union-square,"New York, NY",I want to bring a real Youth Trump Rally to the liberal heart of NYC - …,Young Republicans Rally NYC. Union Square
"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-presidential-candidate,"Temecula, CA",To run as a Candidate for the President of the United States.  Bel…,USA Presidential Candidate
"
$0 raised of $10,000                    ",https://www.gofundme.com/1oi4td52o0,"Dallas, TX",My goal is to train our youth in the art of gun safety in case of burglary…,Gun Training For Young Republicans
"
$0 raised of $1,200                    ",https://www.gofundme.com/5r3dut-abortion-needed,"Birmingham, AL","Hi, raising money To continue my education. I’m a college student pu…",Young Republicans
"
$0 raised of $1.8M                    ",https://www.gofundme.com/kwame-for-usa,"Long Beach, CA","(CAMPAIGN PLATFORM): To rekindle ""American Dream"", To ma…",Republican Presidential Candidate Fundraising
"
$0 raised of $1,000                    ",https://www.gofundme.com/1ofksdcg2o,"Seattle, WA","Hello, My name is Naima Mohamed. I am a freshmen in college and I am h…",Mexican Republican
"
$0 raised of $250,000                    ",https://www.gofundme.com/support-our-senate-republicans,"Portland, OR","It is up to us. We will support our representatives. Their decisions, a…",Support our senate republicans
"
$0 raised of $500,000                    ",https://www.gofundme.com/republicans-legal-fee-fund,"Mannford, OK","The socialist prosecute and, question Republicans and, Republican supp…",Republicans legal fee fund
"
$0 raised of $50,000                    ",https://www.gofundme.com/need-help-from-fellow-republicans,"San Fernando, CA",I've recently been kicked out of my house for bein . Trump Supporter. …,Need Help From Fellow Republicans!
"
$0 raised of $10,000                    ",https://www.gofundme.com/helpoutfellowrepublican,"Detroit, MI",I am a 20 year old female college student and proud republican! I wa…,HELP OUT FELLOW REPUBLICAN
"
$0 raised of $65,000                    ",https://www.gofundme.com/help-a-republican-get-into-college,"Queens Village, NY",I want to got to school to get an education,Help a republican get into college
"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-front-party,"Cove, ENG",National Republican Front is a division of the National Republican …,National Republican Front Organisation
"
$0 raised of $75,000                    ",https://www.gofundme.com/republican-awareness-for-our-youth,"Houston, TX",For over some time the African American community has been misl…,Republican awareness for our youth.
"
$0 raised of $250,000                    ",https://www.gofundme.com/take-back-the-house-for-republicans,"New Orleans, LA",Help Take back house for republicans,Take Back The House for Republicans
"
$0 raised of $150,000                    ",https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",not gonna give a sob story I just need money. want to buy a home for my f…,family home and car
"
$0 raised of $11,000                    ",https://www.gofundme.com/are-you-a-democrat-or-a-republican,"Philadelphia, PA",Republicans versus Democrats. We have -2-  families both families hav…,Are you a Democrat or a Republican
"
$0 raised of $12,000                    ",https://www.gofundme.com/national-teenage-republican-conference-leadership,"Winfield, KS",We are the young republicans club for Cowley county and i see us as t…,National Teenage Republican Conference Leadership
"
$0 raised of $3,000                    ",https://www.gofundme.com/valley-pride-dominican-republican-baseball,"Dinuba, CA",My son is name jose delacruz from a small town name Dinuba.   He has pl…,Valley Pride Jose Dominican Republican baseball
"
$0 raised of $50,000                    ",https://www.gofundme.com/RepublicansSavingAmerica,"Pittsburgh, PA","My name is William Perry, and I am a 35 year old African American. Wh…",Black Republicans for President Trump
"
$0 raised of $200                    ",https://www.gofundme.com/1n1t0uuftc,"Augusta, GA",Every $11 gets a My Way (plan B) into the hands of a Georgia women …,Emergency Contraceptive In Republicans Honor
"
$0 raised of $2,000                    ",https://www.gofundme.com/mp9ap-nursing-classes,"El Cajon, CA","Hello everyone! I am a future nursing school student, and I’m having diffic…",Make Me Vote Republican!
"
$0 raised of $5,000                    ",https://www.gofundme.com/help-a-local-republican,"Corpus Christi, TX","I am an 18 year old, Mexican-American who support president Tr…",Help a local republican
"
$0 raised of $100,000                    ",https://www.gofundme.com/VoteRepublican2020,"Valley Springs, CA",Are you fed up with Democrats controlling the House of Represen…,Vote Republican 2020!
"
$0 raised of $1                    ",https://www.gofundme.com/republicans-put-your-money-where-your-mouth-is,"Scarborough, ME",This is a political competition between Republicans and Democr…,Republicans - Put Your Money Where Your Mouth Is!
"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanics-republicans,"Brooklyn, NY","Hey!!   My name is Taj, I am an legal hispanic republican New Yorker! I …",Hispanics Republicans
"
$0 raised of $5,000                    ",https://www.gofundme.com/the-republican-party-of-australia,"Hunters Hill, NSW",The Republican Party of Australia is an Australian political party dedicat…,The Republican Party of Australia
"
$0 raised of $14,000                    ",https://www.gofundme.com/republican-collectible-trading-cards,"Silver Spring, MD",I have an idea for a trading card series of the crazy Democrats tha…,Republican collectible trading cards
"
$0 raised of $750,000                    ",https://www.gofundme.com/young-republicans-of-Washington,"Yakima, WA",Our mission is to raise money to get young Republicans in Washington S…,Young Republicans of Washington
"
$0 raised of $100,000                    ",https://www.gofundme.com/identity-verified-republican-informative-website,"Escondido, CA",Raising money for a discourse website that is troll free for Republi…,Identity verified Republican discourse website
"
$0 raised of $50,000                    ",https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",Whose better?,Marvel vs. DC
"
$0 raised of $10,000                    ",https://www.gofundme.com/african-american-republicans-of-illinois,"Chicago, IL",I would like to bring awareness and support to Republican African Am…,African American Republicans of Illinois
"
$0 raised of $8,000                    ",https://www.gofundme.com/illinois-republicans-seeking-asylum-down-south,"Kewanee, IL",Many Illinois Republicans are scrambling to get out of this State b…,Illinois Republicans seeking Asylum down South
"
$0 raised of $100,000                    ",https://www.gofundme.com/confuse-republicans-and-democrats,"Paducah, KY",We have been told time and time again that the powers to be know h…,Confuse Republicans and Democrats
"
$0 raised of $10,000                    ",https://www.gofundme.com/1lu8ntiaqo,"Washington, DC",My 2 Weeks Old Son Taylor Whitehead Needs A Heart Transpla…,Reform REPUBLICAN Newborn NeedS HELP
"
$0 raised of $2                    ",https://www.gofundme.com/i-was-ganged-up-by-2-racist-republicans,"Port Charlotte, FL",i was ganged up by 2 local thugs on my block who are trump supporter…,i was ganged up by 2 racist republicans :(
"
$0 raised of $110                    ",https://www.gofundme.com/young-republican-wants-to-help-fund-trumps-wall,"Brandenburg, KY",I am just a Republican boy. I would like to help fund Trumps wall becau…,Young Republican wants to help fund Trumps Wall.
"
$0 raised of $20,000                    ",https://www.gofundme.com/young-republican-in-need-of-help,"Philadelphia, PA","I am a young, Hispanic Trump supporter who wants to go to the …",Young Republican in Need of Help
"
$0 raised of $10,000                    ",https://www.gofundme.com/1lk0b58hc0,"Los Angeles, CA",Got Fired From Job For Wearing maga gear,Reformed Republican
"
$0 raised of $25,000                    ",https://www.gofundme.com/born-again-black-republican,"Grand Prairie, TX",I will not hide any longer. The left has made us feel as if us Black Republic…,Born Again Black Republican
"
$0 raised of $5,000                    ",https://www.gofundme.com/jup6z-reformed-republican,"Forney, TX","I will not hide any longer,, Americans have made us feel as if us black re…",Reformed Republican
"
$0 raised of $10,000                    ",https://www.gofundme.com/reformed-republican,"Washington, DC",Lost Everything In A House Fire Can Yall Find It In Your Hearts To Please…,Reformed Republican
"
$0 raised of $10.0M                    ",https://www.gofundme.com/real-republican-running-for-real-president,"Montegut, LA","As a real republican  #1. A lower deficit, lower national debt as not …",Real republican running for real President
"
$0 raised of $2,600                    ",https://www.gofundme.com/3fyh8e-dominican-republican-trip,"Killeen, TX",I am raising money a Dominican republic trip for my health organiz…,Dominican republican trip
"
$0 raised of $1,000                    ",https://www.gofundme.com/help-the-ucf-college-republicans-get-to-cpac,"Orlando, FL",The College Republicans at UCF is a registered student organization at t…,Help the UCF College Republicans get to CPAC
"
$0 raised of $3.0M                    ",https://www.gofundme.com/make-me-a-republican,"Belding, MI","Had a heart attack,  lost everything,  need new teeth,  a car, get out of d…",Make me a Millionaire
"
$0 raised of $30.0M                    ",https://www.gofundme.com/republican-pro-constitution-president-race,"Snowflake, AZ",I do not want a socialistic country and I am pro constitution.  I am raisi…,Republican pro constitution president race
"
$0 raised of $725                    ",https://www.gofundme.com/6v17la8,"Baton Rouge, LA",I want to vote for Ttump in 2020. All I need is $725 and any extra mone…,Citizenship To Vote Republican
"
$0 raised of $500                    ",https://www.gofundme.com/6td8yig,"Fontana, CA",My name is Marisol Joyce Pines and I am starting this go fund me to help …,My Family Kicked Me Out Because I Am Republican
"
$0 raised of $10,000                    ",https://www.gofundme.com/fight-for-life-march,"Mcallen, TX","This October, the Hidalgo County Teenage Republicans, an organizati…",Fight for Life March
"
$0 raised of $565                    ",https://www.gofundme.com/Republicannotes,"Lithonia, GA",Dem Notes for Dem this for Republicans Which political party fi…,Republican Notes
"
$0 raised of $100,000                    ",https://www.gofundme.com/wheres-our-republican-sotos,"Haskell, NJ",I think it’s time we raise money to bus people into Washington to protest t…,Trip to our capital to protest Nancy and chuck
"
$0 raised of $30,000                    ",https://www.gofundme.com/help-2-young-republican-women-live-their-dream,"Silver Spring, MD",Being a young Republican is very difficult especially in a country with…,Help 2 Young Republican Women Live Their Dream
"
$0 raised of $10,000                    ",https://www.gofundme.com/fund-for-minority-republican-organization,"Torrington, WY",Hello!     I and many other minority Republicans are seeking support fr…,Fund For Minorities for President Trump
"
$0 raised of $100,000                    ",https://www.gofundme.com/donate-if-you-think-republicans-are-stupid,"Walford, IA",I want to know how many people think Republicans are stupid.,Donate if you think Republicans are stupid.
"
$0 raised of $25,000                    ",https://www.gofundme.com/onboardwithcom-a-voice-4-conservative-republicans,"Huntington Beach, CA","GET ON BOARD with OnBoardWith.com – A small, but lo…",OnBoardWith.com A Voice 4 Conservative Republicans
"
$0 raised of $6,000                    ",https://www.gofundme.com/9gmbb-please-help-me-get-on-my-feet,"Waldorf, MD",￼My name is Jack Dolce and I'm pleading with you all to help me get …,Please help a fellow republican
"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-student-in-need-of-a-confidence-boost,"Valparaiso, IN",Hello everyone! My name is Todd! I am a student at Indiana State Unive…,Republican student in need of  a Confidence boost
"
$0 raised of $10.0M                    ",https://www.gofundme.com/republican-reset,"Reno, NV",A grassroots campaign to fund a Republican candidate to to take ba…,Republican Reset
"
$0 raised of $2,500                    ",https://www.gofundme.com/donate-if-you-are-a-true-republican,"Rancho Cucamonga, CA","If you are a true republican, show your patriotism by donating toda…",DONATE IF YOU ARE A TRUE REPUBLICAN
"
$0 raised of $2,000                    ",https://www.gofundme.com/hire-republicans-for-a-wall-my-living-room-wall,"Washington, DC",Why build a wall on the border with Mexico when Mexicans get to 'enjo…,"Hire Republicans for a Wall, My Living Room Wall!"
"
$0 raised of $10.0M                    ",https://www.gofundme.com/6p6x6i0,"Norfolk, VA",Supporting Republican causes and agendas..fighting for your rights li…,Supporting Republican Agendas
"
$0 raised of $5,000                    ",https://www.gofundme.com/help-my-republican-family-move-from-ca-to-tx,"Chico, CA",The working middle class struggles to make ends meet in CA.  We are …,Help my Republican Family move from CA to TX
"
$0 raised of $20,000                    ",https://www.gofundme.com/christian-republicans-music-video,"Phoenix, AZ",This Song Is Decated To Trump and His Fellow Christian’s : All Profit ma…,Christian Republicans ( Music Video )
"
$0 raised of $25,000                    ",https://www.gofundme.com/republican-for-congress-2020-tx-9th-district,"Crosby, TX",I am running for the US House of Representatives in the Texas 9nd C…,David Thompson for Congress R-Tx 9th 2020 election
"
$0 raised of $400                    ",https://www.gofundme.com/6ncniu0,"Topeka, KS",Hello there. We are The Young Republicans. We are a group of frie…,The Young Republicans Trip
"
$0 raised of $800                    ",https://www.gofundme.com/6ncmjao,"Topeka, KS","Hello, a group of friends and I have a chance to go to Washington DC to l…",Young Republicans
"
$0 raised of $840.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheSchoolsSecurity,"Washington, DC",After the Massacre at the Marjory Stoneman Douglas High School in P…,Republican Fund to support the Schools Security
"
$0 raised of $987.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheGovernmentShutdown,"Washington, DC",The United States Republican Leadership Committee as the arm …,Republican Fund to support the Government Shutdown
"
$0 raised of $900.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheNRAGunOwners,"Washington, DC",The United States Republican Leadership Commerce wants to s…,Republican Fundraiser to support NRA Gun Owners
