Allergy and Immunology,296705.00,
Anesthesiology,357116.00,
Cardiology,436849.00,
Colon and Rectal Surgery,343277.00,
Dermatology,400898.00,
Emergency Medicine,320419.00,
Endocrinology,217610.00,
Family Medicine,227541.00,
Gastroenterology,379460.00,
General Surgery,360933.00,
Hematology,376660.00,
Infectious Disease,205570.00,
Internal Medicine,223175.00,
Medical Genetics,158597.00,
Medicine/Pediatrics,205610.00,
Neonatology/Perinatology,290853.00,
Nephrology,306302.00,
Neurology,243105.00,
Neurosurgery,609639.00,
Nuclear Medicine,290639.00,
Obstetrics & Gynecology,315295.00,
Occupational Medicine,229450.00,
Oncology,341701.00,
Ophthalmology,343144.00,
Orthopaedic Surgery,535668.00,
Otolaryngology,369790.00,
Pathology,302610.00,
Pediatric Cardiology,303917.00,
Pediatric Emergency Medicine,273683.00,
Pediatric Endocrinology,157394.00,
Pediatric Gastroenterology,196708.00,
Pediatric Hematology & Oncology,192855.00,
Pediatric Infectious Disease,163658.00,
Pediatric Nephrology,183730.00,
Pediatric Pulmonology,218106.00,
Pediatric Rheumatology,200027.00,
Pediatrics,206961.00,
Physical Medicine/Rehab,278283.00,
Plastic Surgery,407709.00,
Preventive Medicine,270888.00,
Psychiatry,227478.00,
Pulmonology,317323.00,
Radiation Oncology,418228.00,
Radiology,404302.00,
Rheumatology,244765.00,
Thoracic Surgery,471137.00,
Urology,381029.00,
Vascular Surgery,428944.00,